name,link,max_salary,min_salary,currency
Senior Data scientist (Computer Vision),https://samara.hh.ru/vacancy/47357797?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,,
Data Scientist / специалист по распознаванию и категоризации изображений,https://samara.hh.ru/vacancy/53427577?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,100000.0,руб.
Data scientist,https://samara.hh.ru/vacancy/53215762?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,,
Senior Analytics & Insights Manager,https://samara.hh.ru/vacancy/51860512?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,,
Data Scientist,https://samara.hh.ru/vacancy/53409941?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,5000.0,4000.0,EUR
Data scientist,https://samara.hh.ru/vacancy/52625579?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,220000.0,150000.0,руб.
Data scientist,https://samara.hh.ru/vacancy/53092406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,300000.0,руб.
Junior Data scientist/ Младший риск-аналитик,https://samara.hh.ru/vacancy/53211742?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,,
Data Scientist,https://samara.hh.ru/vacancy/49423067?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,320000.0,,руб.
Data Scientist (DS SWAT),https://samara.hh.ru/vacancy/53421862?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,,
Data scientist / Product analyst,https://samara.hh.ru/vacancy/52276251?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,250000.0,200000.0,руб.
Data Scientist (аналитик данных в области управления персоналом),https://samara.hh.ru/vacancy/52264939?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,,
Специалист по машинному обучению / data scientist,https://samara.hh.ru/vacancy/52627493?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,,
Data Scientist,https://samara.hh.ru/vacancy/50736774?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,250000.0,руб.
Data Scientist,https://samara.hh.ru/vacancy/52475275?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,,
Data engineer/ Инженер по данным (удаленно),https://samara.hh.ru/vacancy/50138376?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,200000.0,руб.
"Deep learning developer / Data scientist, remote",https://samara.hh.ru/vacancy/52252531?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,400000.0,руб.
Data scientist,https://samara.hh.ru/vacancy/53390074?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,,
Специалист по компьютерному зрению (CV) / Data scientist,https://samara.hh.ru/vacancy/52505890?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,160000.0,130000.0,руб.
Data scientist,https://samara.hh.ru/vacancy/53421814?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist,,,
